data,img_size,sexe,age,method_sex_age,seed,epochs,lr,height_rel_err,weight_rel_err
cambodge,256,True,False,0,2,30,0.005,0.07819266101360904,0.14768923893570718
cambodge,256,True,False,0,3,30,0.005,0.07880844758179217,0.15322395314335752
cambodge,256,False,True,0,0,30,0.005,0.05997690099270326,0.12466717945540942
cambodge,256,False,True,0,1,30,0.005,0.056202476575646254,0.11272976508874354
cambodge,256,False,True,0,2,30,0.005,0.06829218419044494,0.13556477113403845
cambodge,256,False,True,0,3,30,0.005,0.06377373723782603,0.13137507602270482
cambodge,256,True,True,0,0,30,0.005,0.05917285407578803,0.12214844846835624
cambodge,256,True,True,0,1,30,0.005,0.06395283994885106,0.11858770417312162
cambodge,256,True,True,0,2,30,0.005,0.057374210638883316,0.10994412464642259
cambodge,256,True,True,0,0,30,0.005,0.06180016752413333,0.1386198718968885
cambodge,256,True,True,0,1,30,0.005,0.05910354332731143,0.10895668949795127
cambodge,256,True,True,0,2,30,0.005,0.06990851218677603,0.138729728701639
cambodge,256,True,True,0,3,30,0.005,0.05879872432344592,0.12145673134830416
cambodge,384,False,False,0,0,30,0.005,0.07026535739255547,0.14778293151390115
cambodge,384,False,False,0,1,30,0.005,0.06895104157767104,0.13834809383749427
cambodge,384,False,False,0,2,30,0.005,0.0686778525746565,0.14190667744921392
cambodge,384,False,False,0,3,30,0.005,0.07111182962201765,0.1429830638956231
cambodge,384,True,False,0,0,30,0.005,0.07455905103063465,0.1548117157222744
cambodge,384,True,False,0,1,30,0.005,0.07099164706829435,0.14103530666046485
cambodge,384,True,False,0,2,30,0.005,0.07041082007137768,0.14199933096097075
cambodge,384,True,False,0,3,30,0.005,0.07418694381897492,0.14488654650015884
cambodge,384,False,True,0,0,30,0.005,0.0707107828606138,0.14666037185425382
cambodge,384,False,True,0,1,30,0.005,0.06740622460781445,0.12947399412522317
cambodge,384,False,True,0,2,30,0.005,0.06587900093189025,0.1330828089349675
cambodge,384,False,True,0,3,30,0.005,0.05948439736942186,0.1308931964718619
cambodge,384,True,True,0,0,30,0.005,0.06319143953011414,0.13641635367197058
cambodge,384,True,True,0,1,30,0.005,0.06234209391812395,0.13290918619888628
cambodge,384,True,True,0,2,30,0.005,0.05445806197902781,0.11434777691580718
cambodge,384,True,True,0,3,30,0.005,0.06623978237862635,0.13872604626508142
guinee_cambodge,256,False,False,0,0,30,0.005,0.07938787395621001,0.17268989956594774
guinee_cambodge,256,False,False,0,1,30,0.005,0.08018172258990498,0.16209449073094526
guinee_cambodge,256,False,False,0,2,30,0.005,0.07904269968151113,0.17097203309772216
guinee_cambodge,256,False,False,0,3,30,0.005,0.07994571981337033,0.16531257048912582
guinee_cambodge,256,True,False,0,0,30,0.005,0.07994270465300694,0.1750998667900332
guinee_cambodge,256,True,False,0,1,30,0.005,0.08178276309082382,0.1704851455722074
guinee_cambodge,256,True,False,0,2,30,0.005,0.07749744190683035,0.1599681813262523
guinee_cambodge,256,True,False,0,3,30,0.005,0.07905967599084407,0.17212296228253185
guinee_cambodge,256,False,True,0,0,30,0.005,0.07199955780556125,0.1661255474575981
guinee_cambodge,256,False,True,0,1,30,0.005,0.06520694128765889,0.13310914288834005
guinee_cambodge,256,False,True,0,2,30,0.005,0.061279937581209164,0.14107268512443544
guinee_cambodge,256,False,True,0,3,30,0.005,0.06467137891186509,0.13936524797569824
guinee_cambodge,256,True,True,0,0,30,0.005,0.0621034677624255,0.14446425600309232
guinee_cambodge,256,True,True,0,1,30,0.005,0.07872599472205447,0.1614667183349982
guinee_cambodge,256,True,True,0,2,30,0.005,0.062025132319865915,0.14079472071927246
guinee_cambodge,256,True,True,0,3,30,0.005,0.06699881430540339,0.15404815492456073
guinee_cambodge,384,False,False,0,0,30,0.005,0.07308744826895458,0.15778701359349726
guinee_cambodge,384,False,False,0,1,30,0.005,0.07725716998927616,0.16368860003127153
guinee_cambodge,384,False,False,0,2,30,0.005,0.07249955564180183,0.16275470972943493
guinee_cambodge,384,False,False,0,3,30,0.005,0.07908159155302057,0.1700027019416278
guinee_cambodge,384,False,False,0,0,30,0.005,0.07297633259961543,0.15666298605291
guinee_cambodge,384,False,False,0,1,30,0.005,0.07686308274289648,0.16237397294314443
guinee_cambodge,384,False,False,0,2,30,0.005,0.07547828692489301,0.16760541777536667
guinee_cambodge,384,False,False,0,3,30,0.005,0.07848992620506023,0.17122504025860327
guinee_cambodge,384,True,False,0,0,30,0.005,0.0740682901321266,0.1638343602539963
guinee_cambodge,384,True,False,0,1,30,0.005,0.07385953318906029,0.15395465479001366
guinee_cambodge,384,True,False,0,2,30,0.005,0.07188795888456097,0.16038821704909664
guinee_cambodge,384,True,False,0,3,30,0.005,0.07637066151021421,0.1779753443672496
guinee_cambodge,384,False,True,0,0,30,0.005,0.07361197561431264,0.16401666579592605
guinee_cambodge,384,False,True,0,1,30,0.005,0.06996890515923794,0.14707567048406198
guinee_cambodge,384,False,True,0,2,30,0.005,0.07717210174698076,0.17045597592318779
guinee_cambodge,384,False,True,0,3,30,0.005,0.06943348508668881,0.15928595086408054
guinee_cambodge,384,True,True,0,0,30,0.005,0.07390384487494935,0.15584178871644042
guinee_cambodge,384,True,True,0,1,30,0.005,0.05699547248424119,0.12914871695663405
guinee_cambodge,384,True,True,0,2,30,0.005,0.07530911420213901,0.1576557323509989
guinee_cambodge,384,True,True,0,3,30,0.005,0.07346896509915948,0.1612183754289553
