true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
51.0,3.9,49.907284,1.5489291,0.0214258081772748,0.6028386935209616
50.0,3.7,42.456715,1.3656082,0.1508657073974609,0.6309166985589105
55.0,3.9,49.52577,1.6955647,0.0995314858176491,0.5652398084982847
46.0,2.6,52.903748,1.7319372,0.1500814686650815,0.333870319219736
49.0,2.3,51.54604,1.6511815,0.0519599914550781,0.2820950176404869
49.0,3.0,46.135334,1.4341502,0.0584625711246412,0.5219499270121256
48.0,2.8,50.405384,1.4777639,0.0501121679941813,0.4722271817071097
45.0,1.35,43.412975,1.0485256,0.0352672153049045,0.2233143912421333
47.0,2.7,57.117672,1.956965,0.2152696163096326,0.2751981593944408
53.0,4.2,44.907932,1.4802476,0.1526805229906765,0.6475600912457421
43.0,1.3,52.69798,1.8419312,0.2255343947299691,0.416870172207172
52.0,4.62,45.0719,1.6704663,0.1332327035757211,0.6384272069642039
50.0,3.4,47.098988,1.3824211,0.0580202484130859,0.5934055482639986
50.0,3.2,44.52443,1.3884875,0.1095114135742187,0.5660976693034172
49.0,3.28,45.516094,1.231639,0.0711001182089046,0.6245002964647804
48.0,2.9,51.96766,1.8263556,0.0826595624287923,0.3702222149947594
55.0,3.15,45.388607,1.0763377,0.1747525995427911,0.6583054936121381
52.0,3.65,45.927483,1.6293772,0.1167791806734525,0.5535952750950643
48.0,2.8,43.1173,1.6284093,0.1017229557037353,0.4184252619743346
52.0,4.0,59.876453,2.1310697,0.1514702576857347,0.4672325849533081
47.0,2.9,46.250908,1.365027,0.0159381298308676,0.5293010514357994
52.0,2.55,47.8901,1.2631533,0.0790365659273587,0.5046457589841357
48.0,2.6,48.65687,1.526171,0.0136848290761311,0.4130111657656156
50.0,3.3,56.89106,1.8278121,0.1378211975097656,0.4461175528439608
52.0,4.3,48.62836,1.7820346,0.0648392163790189,0.5855733405712039
50.0,2.58,43.4289,1.1699207,0.1314219665527344,0.5465423709662386
52.0,2.85,50.65247,1.3719165,0.0259140454805814,0.5186257780643931
42.0,1.61,46.046925,1.5220174,0.0963553474062965,0.0546476026499494
48.0,2.5,52.723156,1.9121628,0.0983990828196207,0.2351348876953125
51.0,2.81,46.373173,1.4885559,0.0907221027449065,0.4702648013512011
47.0,2.6,48.214546,1.5309725,0.0258414085875166,0.411164430471567
50.0,3.69,52.029964,1.1216689,0.0405992889404296,0.6960246789100047
52.0,3.5,45.047016,1.1015934,0.1337112280038687,0.6852590356554303
51.0,3.5,46.894836,1.643183,0.0804934034160539,0.5305191448756627
52.0,3.1,52.574978,1.399343,0.011057266822228,0.5485990278182491
52.0,4.2,44.519493,1.8563647,0.1438559018648587,0.5580083983285087
51.0,3.5,45.49443,1.3442774,0.1079523423138786,0.6159207480294364
47.0,2.7,50.20763,1.4412407,0.0682474501589511,0.4662071598900689
