data,img_size,sexe,age,seed,epochs,lr,height_rel_err,weight_rel_err
guinee,384,True,False,3,30,0.005,0.05489369172043154,0.1863802218045116
guinee,384,False,True,0,30,0.005,0.06366529939359838,0.18965065522262006
guinee,384,False,True,1,30,0.005,0.06343274360030812,0.1833575272045605
guinee,384,False,True,2,30,0.005,0.06175940485790325,0.18935151799940636
guinee,384,False,True,3,30,0.005,0.053143895467320866,0.18153976760663887
guinee,384,True,True,0,30,0.005,0.06569847653157465,0.20294110846007796
guinee,384,True,True,1,30,0.005,0.0648756166072779,0.20257639636095076
guinee,384,True,True,2,30,0.005,0.06238052221018039,0.1962724539112807
guinee,384,True,True,3,30,0.005,0.053273862911203396,0.18676555683931517
cambodge,256,False,False,0,30,0.005,0.06706497281467404,0.13023550727639377
cambodge,256,False,False,1,30,0.005,0.06663938971360026,0.12681271424274382
cambodge,256,False,False,2,30,0.005,0.06465671038233163,0.12157866222035321
cambodge,256,False,False,3,30,0.005,0.06664203462158175,0.12715242031909127
cambodge,256,True,False,0,30,0.005,0.0669407165451641,0.12791221615435072
cambodge,256,True,False,1,30,0.005,0.06481227265979393,0.1246483235731375
cambodge,256,True,False,2,30,0.005,0.0636432214713084,0.12314325002772548
cambodge,256,True,False,3,30,0.005,0.06571272880156992,0.12692263862664435
cambodge,256,False,True,0,30,0.005,0.06697930639142416,0.1280637569932218
cambodge,256,False,True,1,30,0.005,0.06557898644527207,0.12603080980953008
cambodge,256,False,True,2,30,0.005,0.06473225870964215,0.12446576965453304
cambodge,256,False,True,3,30,0.005,0.06736206092928153,0.12850235579021047
cambodge,256,True,True,0,30,0.005,0.06643266797731161,0.13052087917424127
cambodge,256,True,True,1,30,0.005,0.0644533910995762,0.12413972428344537
cambodge,256,True,True,2,30,0.005,0.06338822721845201,0.11990373610862902
cambodge,256,True,True,3,30,0.005,0.06595937262065737,0.12672923470455436
cambodge,384,False,False,0,30,0.005,0.06044051677265857,0.11866326674012438
cambodge,384,False,False,1,30,0.005,0.05896943068639513,0.11619145680817683
cambodge,384,False,False,2,30,0.005,0.05766740336642404,0.11166292183372908
cambodge,384,False,False,3,30,0.005,0.058302755129745844,0.11821730181737673
cambodge,384,True,False,0,30,0.005,0.06038864980813016,0.1175075656015641
cambodge,384,True,False,1,30,0.005,0.059103455307836936,0.11353834930682308
cambodge,384,True,False,2,30,0.005,0.05830350944483548,0.11625850034165827
cambodge,384,True,False,3,30,0.005,0.05734198555165389,0.11579388913605108
cambodge,384,False,True,0,30,0.005,0.06166956757742547,0.11865054524665969
cambodge,384,False,True,1,30,0.005,0.05869461757683377,0.11334321060015017
cambodge,384,False,True,2,30,0.005,0.05805501174600521,0.114232256771158
cambodge,384,False,True,3,30,0.005,0.05870497806128598,0.11742638852774305
cambodge,384,True,True,0,30,0.005,0.05958522236599559,0.11715557460020971
cambodge,384,True,True,1,30,0.005,0.05847067314806065,0.11371970987261908
cambodge,384,True,True,2,30,0.005,0.05725295035833672,0.11222016151638144
cambodge,384,True,True,3,30,0.005,0.05765152963301396,0.11571912724541443
