true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
84.3,11.8,78.360954,10.832471,0.0704513133491343,0.0819939920457743
82.0,9.7,90.47083,11.453049,0.1033028393256955,0.1807266707272874
79.95,10.5,83.82168,10.9015255,0.0484262434224026,0.0382405235653831
93.45,11.5,79.87406,9.87268,0.1452748894117426,0.1415061121401579
93.2,12.8,82.9709,11.417915,0.1097542758663325,0.1079753637313843
73.55,7.9,76.76683,9.797368,0.0437366477815899,0.2401731708381748
86.5,10.9,100.20182,13.612405,0.1584025476709266,0.2488444792021305
64.55,9.9,74.88936,9.125316,0.1601759646864107,0.078250942808209
62.45,5.6,69.26046,8.092544,0.1090546020801015,0.4450970717838833
65.65,6.8,69.78496,8.566312,0.0629848878254711,0.2597517406239229
69.55,8.1,72.38169,8.643163,0.0407144641122057,0.0670571268340688
93.25,13.9,108.24222,15.36721,0.1607744559525804,0.10555470418587
87.5,10.8,94.64623,12.312594,0.0816712297712053,0.1400550383108632
75.0,8.4,76.45279,9.169783,0.0193705240885416,0.0916407903035481
99.05,14.2,92.410835,12.813939,0.067028417303248,0.0976099229194748
54.95,4.3,76.52671,9.173861,0.3926607918153576,1.1334559418434322
61.1,5.9,67.3905,7.423423,0.1029542214351472,0.2582072565111062
75.05,9.5,77.07227,9.099824,0.0269456796055234,0.042123794555664
88.0,10.8,92.817604,12.518034,0.0547455007379705,0.1590772204928927
81.25,11.0,91.032936,12.137824,0.1204053673377403,0.1034385507757013
86.4,11.0,89.970146,12.174415,0.0413211363333242,0.1067649667913263
74.35,8.3,79.157196,9.1444845,0.0646563018819351,0.1017451228865657
60.15,6.0,68.11173,8.318369,0.1323646298073176,0.3863948186238606
99.55,12.1,111.248924,15.672382,0.1175180738861988,0.2952382111352337
59.3,5.7,70.551315,8.298626,0.1897355026579627,0.4558992887798108
82.65,9.3,93.29589,12.888011,0.1288069063291647,0.3858076321181429
68.7,7.0,75.118385,8.641825,0.0934262782378661,0.234546388898577
95.05,13.5,90.393105,12.025122,0.048994165668357,0.1092502452709056
81.0,9.2,71.906166,9.040416,0.1122695546091338,0.0173461126244585
93.1,11.7,89.885445,12.232385,0.0345279845208025,0.0455029642480052
67.6,9.3,78.38347,9.241039,0.1595187666853505,0.0063398627824681
95.25,16.6,90.20467,11.876024,0.0529693042825213,0.2845768526376012
88.65,11.8,96.00395,13.795767,0.0829549015946664,0.1691327822410453
88.65,11.4,102.144615,14.055904,0.1522235214138729,0.2329740691603275
78.80000000000001,9.5,92.905754,12.875135,0.1790070315908052,0.3552774128160978
73.45,8.8,69.289955,7.692891,0.0566377789086432,0.125807827169245
53.1,4.7,61.76031,6.9898996,0.1630943715011107,0.4872126883648811
68.15,8.5,72.58438,8.278717,0.0650679545636921,0.0260332892922794
77.5,8.3,70.10265,8.154808,0.0954496322139616,0.0174930066947478
97.65,14.9,98.1193,13.249334,0.0048059482056851,0.1107829305149565
88.45,12.8,89.91568,12.078884,0.0165707171468696,0.0563371777534485
73.2,8.0,67.15268,7.7727146,0.0826136688065659,0.0284106731414794
90.8,11.9,107.43676,15.523408,0.1832242285102475,0.3044880618568227
102.55,15.3,85.04062,11.689236,0.1707399425013712,0.235997667499617
68.25,7.7,73.57299,8.3377695,0.0779925335894574,0.0828272088781579
77.35,8.2,84.299324,10.890832,0.0898425861104659,0.3281502374788611
88.95,11.7,88.36734,11.563854,0.00655042059707,0.0116363916641626
74.05,7.8,67.216225,7.7171087,0.0922859598864259,0.010627086345966
94.55,12.0,84.96066,10.638189,0.101420805480731,0.1134842236836751
85.9,10.7,86.78202,11.803382,0.0102679926524755,0.103119805594471
84.35,11.0,85.79968,10.915477,0.0171865159121221,0.0076839273626154
79.6,9.9,84.17916,11.357223,0.0575271491429315,0.1471941976836233
89.25,12.1,84.372444,10.84344,0.0546504856825542,0.103847929268829
61.0,5.8,69.10977,7.7534223,0.1329470775166495,0.336796941428349
80.45,10.1,79.5776,9.73638,0.0108440202389392,0.0360020174838528
94.0,12.8,96.41744,12.80489,0.0257174715082696,0.0003820061683654
79.0,8.4,86.979546,11.519845,0.1010069062438192,0.371410120101202
65.7,6.6,74.07154,8.955366,0.1274207128237371,0.356873656764175
91.75,11.8,93.00032,13.070398,0.0136274706765156,0.1076608754820742
70.05,7.8,73.13597,8.516167,0.0440538339662518,0.0918162419245793
89.55,11.3,92.834526,12.630441,0.0366781246455803,0.1177381161039908
80.05,8.9,89.85721,11.9430485,0.1225135321917942,0.3419155592329046
93.1,11.7,91.80375,13.151619,0.013923210693097,0.1240699963691907
78.4,9.2,75.10418,9.247613,0.0420385282866809,0.0051753209984821
88.25,11.5,90.40805,11.871571,0.0244538304488314,0.0323104858398437
62.25,6.7,71.9832,8.229465,0.1563566276826054,0.22827828820072
77.55,9.5,99.506775,13.833997,0.2831305596691651,0.4562101866069593
69.55,8.2,76.4572,9.154102,0.0993127116704484,0.1163539421267626
